date,AAPL,AXP,BA,BAC,CAT,COP,CVX,DD,DIS,GE,GLD,HD,IBM,JNJ,JPM,KO,MCD,MRK,MSFT,NEE,NKE,ORCL,PEP,PFE,PG,UNH,USO,WFC,WMT,XOM
2006-05-01,-0.15087345778259176,0.010221212973159144,0.0010163937069189721,-0.020391214163285154,-0.03683673623270145,-0.04856807850681044,-0.011735726562270177,-0.018222522614361192,0.09084423235237926,-0.009540452103033337,-0.013212367941959902,-0.04532951487404446,-0.026125293979151976,0.03384777438339737,-0.060378767229305574,0.04933249947225016,-0.04049745119241421,-0.021610927886547948,-0.05845479761861572,0.00580813616060416,-0.01869498176670359,-0.02535947320864107,0.038117547704050736,-0.05705835694665906,-0.0680296838257809,-0.11620445842319505,-0.02714736160709541,-0.026317106701276627,0.07972235099849034,-0.02954378715991901
2006-06-01,-0.04182716346629767,-0.020971512090391387,-0.016095531302852795,-0.006197862259067488,0.02097290981680433,0.03539300583470628,0.037966620249800354,-0.01132520812239779,-0.01639350359274483,-0.030748545531504412,-0.046707203143457665,-0.05734790070659046,-0.03854795033787528,-0.004982539888707227,-0.015009601525979743,-0.015895054850901036,0.012963948368506895,0.09432269821127859,0.02869766235429161,0.04847689376673503,0.010531644763257297,0.018986900943311236,-0.0019985988132490418,-0.008030510645865019,0.02488513751054433,0.01865303323713574,0.030119491879871285,0.010697337050225242,-0.005778787914412775,0.007223816039541253
2006-07-01,0.18666005830483323,-0.019054119881518283,-0.05481656143632918,0.07130987102148634,-0.044325675923002184,0.05298460397499505,0.05994165563993015,-0.11401467352741257,-0.010333471660170956,-0.008191347913819591,0.031520501708389936,-0.030176183162123782,0.007680420526546827,0.04389191531129044,0.09505462524428543,0.03440243868213955,0.0532736203183346,0.10540727321719534,0.0326185357087434,0.042532237317157495,-0.024691317615221364,0.033126440774009946,0.055628808690526776,0.10737115614038029,0.016436938384721378,0.06811088830432621,-0.0035832021216650745,0.07841421822647732,-0.07618847602046175,0.10415657166527792
2006-08-01,-0.001619009466308885,0.009220281837833522,-0.02882163383595937,0.009648112677627996,-0.06377841889352376,-0.07590345159373912,-0.013305379510228588,0.10266045499836562,-0.001347167918730241,0.04190863583949089,-0.013774523970655372,-0.012100254425184032,0.05016020971809931,0.03973181020091654,8.770431211386764e-4,0.0069663145651632785,0.014410695584815558,0.016311076660832757,0.07209611448371844,0.03922351252359135,0.02227833424723058,0.04609231759272592,0.029978148849833408,0.07022708158116053,0.10142354048053792,0.08613915807078731,-0.06789404227883178,-0.031784507329571055,0.008747944163391752,0.003601543481243308
2006-09-01,0.1345614012498786,0.06737694810010497,0.052737322337873094,0.0408001391195425,-0.008289513009725913,-0.06148487040758366,0.007143150213768434,0.03204048086706912,0.04249578447097613,0.043858413018450504,-0.04527210873938614,0.06234286417811208,0.011979923448888874,0.00433029814653163,0.028471376578270924,0.004049558854124502,0.08969352395955998,0.03329238039527649,0.0642022716640529,0.012373339124102545,0.08702375763873316,0.13282249953854475,0.004314985590895493,0.02902685220842116,0.0012923918016209957,-0.05293609926913401,-0.12037041179655039,0.04115118979859278,0.10286238716976648,-0.008423213617800296
2006-10-01,0.053260666478967655,0.03361832342088511,0.012809014956723264,0.005600211539434019,-0.0733311812598092,0.01781785151806381,0.03607768093006114,0.046434005546843515,0.017793761907820116,-0.005382728958754468,0.012947712156690105,0.029225371901530073,0.12679954006115168,0.03788085914991579,0.017466371614414777,0.04565843663908953,0.07157422245011591,0.08400945376445845,0.049726132684646096,0.13333333827800287,0.04861919882525756,0.041150377667288573,-0.027888644322871747,-0.0602959256115404,0.027868103614058004,-0.008536864882311646,-0.08596493905050717,0.0030401575331040487,-8.110354396557717e-4,0.06438144280185942
2006-11-01,0.13048844335891685,0.015741267753237587,0.11249878462330298,0.010051564725038986,0.021742312055190727,0.11719798263746384,0.08420101784175049,-0.01912223746154973,0.05054018906917901,0.0048420123716685914,0.06889106234313203,0.023269876827120672,-0.0012093598253488658,-0.016583188302691898,-0.02445187616492328,0.009055419552608024,0.025630004371984372,-0.020035442449496732,0.02613606167168414,0.05258366004692472,0.07694822608096819,0.031401579183475414,-0.023171669953243268,0.040671744173056856,-0.009465585811011867,0.006150407266008573,0.04760083358093481,-0.021382640129198438,-0.06452956735846527,0.0801316916222552
2006-12-01,-0.07440541432758896,0.03320798661736424,0.003501228314341409,-0.008542097403433924,-0.011284651826147574,0.06909311781415695,0.016730795829662304,0.006627048413076375,0.04630449677251347,0.06250326685642493,-0.018325831904969392,0.05767673888831615,0.05689721003666581,0.0016684481244511051,0.043646872288291894,0.030322579992560827,0.05623150915417008,-0.012174902888108297,0.017030355969676725,0.021013210151002548,0.002697348005633371,-0.10026200820006059,0.01410092547075048,-0.05783921490857746,0.02357112207392098,0.09474301232457427,-0.054598813795532775,0.009080210387251153,0.005435662243242545,-0.002343609175288086
2007-01-01,0.010490615492628086,-0.038003980924693925,0.008104230093979536,-0.015171562750678214,0.04993436737382018,-0.07699801652568705,-0.008839377643372504,0.0411024975334473,0.026261820819485804,-0.03117460306778086,0.02562890001654794,0.0144425755670341,0.020586946705128062,0.011814587309052715,0.06192678313335809,-0.007668535589083647,4.5097822546580346e-4,0.026376409284975644,0.03348954800795867,0.0409779472991223,-0.002221871880385362,0.0011665105868665648,0.043005378240949854,0.013127049044193928,0.014171817539289977,-0.027358558133842248,-0.06511621889561559,0.01806379601704622,0.03269830570476051,-0.033015350268501
2007-02-01,-0.013064721638646692,-0.023187699762300618,-0.021918200499203455,-0.022507016645984756,0.005617981846729236,-0.010398561913137039,-0.05306334931754153,0.05392386344052991,-0.02615860669268777,-0.024012848530669206,0.025451202827030173,-0.028228256107436178,-0.05980794102625486,-0.05244849423981568,-0.03023732503027976,-0.025062585088336364,-0.01488157646237298,-0.013407640385017738,-0.08400261147111188,0.05051680683968507,0.05728202081526357,-0.04254089933412797,-0.03203575550488258,-0.03838648211995255,-0.021272637433764174,-0.0015312655283216126,0.06094524304341653,-0.03396410803672678,0.01300082204510522,-0.02853921681967253
